id,label,numFollowers
@BigBadDenis,@BigBadDenis,5221
@watinthe_,@watinthe_,2139
@GNB_AmbienteCOJ,@GNB_AmbienteCOJ,636
@QCHnyc,@QCHnyc,1689
@unwomenafrica,@unwomenafrica,66291
@farmgeek,@farmgeek,15104
@sandralopezleon,@sandralopezleon,41792
@colossusPhD,@colossusPhD,3207
@Mortimer4Kim,@Mortimer4Kim,2519
@voiceoreason702,@voiceoreason702,410
@AmitAryaMD,@AmitAryaMD,30163
@DKFZ_CAMI_lab,@DKFZ_CAMI_lab,561
@MartinRides,@MartinRides,4972
@CRDMedia_,@CRDMedia_,2905
@DiarioLaGaceta,@DiarioLaGaceta,34392
@SmallCharityFR,@SmallCharityFR,282
@UNESCAP,@UNESCAP,69778
@saikonobiwa,@saikonobiwa,1672
@covidandpolitic,@covidandpolitic,156
@celestial_bean_,@celestial_bean_,929
@vicevans4148,@vicevans4148,1260
@PurpRmPolitics,@PurpRmPolitics,1680
@QuakerNana,@QuakerNana,23012
@SGazanhes,@SGazanhes,976
@BITC,@BITC,32694
@MediaNGO_org,@MediaNGO_org,869
@PabloGVasco,@PabloGVasco,1309
@AndiLou12,@AndiLou12,346
@data2health,@data2health,741
@SirGrantFleming,@SirGrantFleming,1303
@EveryDoctorUK,@EveryDoctorUK,126855
@thatjensenwoman,@thatjensenwoman,824
@EmmaCrockerDNP,@EmmaCrockerDNP,3036
@lucijapen,@lucijapen,36
@solarpolis,@solarpolis,1118
@munisanisidro,@munisanisidro,18546
@BogochIsaac,@BogochIsaac,176208
@vladogb,@vladogb,3744
@WestHealth,@WestHealth,7975
@cdibomberos,@cdibomberos,280
@Giannifotostyle,@Giannifotostyle,162
@WokeDocDatabase,@WokeDocDatabase,26
@maxthevaxNE,@maxthevaxNE,28
@NoPicsToday,@NoPicsToday,628
@CarlaIGreciano,@CarlaIGreciano,1458
@DrMarwaAzab,@DrMarwaAzab,517
@TNNavbharat,@TNNavbharat,59948
@matjamme,@matjamme,1330
@ProfPMiddleton,@ProfPMiddleton,5215
@_M_A_Z_Z_A,@_M_A_Z_Z_A,3226
@JPSoucy,@JPSoucy,7623
@kalingoliv,@kalingoliv,342
@Vickyvdtogt,@Vickyvdtogt,4013
@SaludNuble,@SaludNuble,10597
@BarbaraKnotts,@BarbaraKnotts,744
@shanghaidaily,@shanghaidaily,395991
@isca681,@isca681,1751
@wamnnews,@wamnnews,1346
@JujuliaGrace,@JujuliaGrace,200706
@ehworld1,@ehworld1,153
@electr0mac,@electr0mac,611
@realDavidEli,@realDavidEli,1008
@KiberuJimmy,@KiberuJimmy,9645
@Mareikelita,@Mareikelita,135
@ibeahussy,@ibeahussy,2141
@gobiernohidalgo,@gobiernohidalgo,284019
@ewyler,@ewyler,6514
@KateCushing2,@KateCushing2,6468
@DNHindi,@DNHindi,6110
@marie_sarjeant,@marie_sarjeant,516
@SE6Steve,@SE6Steve,464
@RomainDoyer,@RomainDoyer,8916
@atv_noticias,@atv_noticias,1325192
@PriyaaReturnz,@PriyaaReturnz,2378
@M16Vincent,@M16Vincent,20
@subgap,@subgap,89614
@Allensabo63,@Allensabo63,481
@CNC3TV,@CNC3TV,163688
@23ABCNews,@23ABCNews,65188
@marcdaalder,@marcdaalder,9947
@MEwarrior_au,@MEwarrior_au,2121
@LukeferZ,@LukeferZ,270
@maggini_19,@maggini_19,103
@lacalledelasoci,@lacalledelasoci,2099
@PharmtechF,@PharmtechF,54
